Question,Answer
"What leadership roles does she hold in obesity management?","She is the Head of the Medical Weight Control Clinic at Austin Health, which is considered one of Australia’s premier obesity services."
"Who is Dr. Fiona Inchley?","Dr. Fiona Inchley is a Consultant Endocrinologist and Perioperative Physician who graduated with Honours from The University of Melbourne."
"What are Dr. Inchley's clinical specialties?","She manages a wide variety of conditions, including diabetes mellitus, pituitary, thyroid, adrenal, and parathyroid disorders, as well as hypertension, osteoporosis, PCOS, and menopause."
"What makes Dr. Inchley's medical approach unique?","Her dual training in General Medicine and Endocrinology allows her to uniquely manage multiple complex medical problems associated with chronic diseases, such as the complications of type 2 diabetes."
"What are her current hospital appointments?","Dr. Inchley holds staff appointments at both St Vincent’s Hospital and Peninsula Health."
"How would you describe her patient consultation style?","She approaches patients with empathy and builds rapport quickly, focusing heavily on patient education to empower them in the decision-making process."
"What is her background in medical education?","She is deeply committed to education and actively assists with the physician training program every year."
"What are her qualifications?","Her qualifications include MBBS(Hons), B.Pharm(Sci) Hons, FRACP, and GChPOM."
"Who is Dr. Ricky Arenson?","Dr. Ricky Arenson is a highly respected Consultant Endocrinologist and Geriatrician who was named the best Endocrinologist in Australia in 2023 by FunEmpire."
"What are Dr. Arenson's medical qualifications?","His qualifications include MBChB, AMC, FRACP (Endocrinology), and FRACP (Geriatrics). He is dual-trained in both Endocrinology and Geriatric Medicine."
"What notable awards has Dr. Arenson won?","He won the 'WA Clinical Educator of the Year' in 2015, the WA Health Innovation Award in 2021, a Lifetime Outstanding Service Award at Royal Perth Hospital (2018), and the 'WA Hero of Covid Award' (2019)."
"What leadership roles has he held in his career?","He has served as Head of the Murdoch Endocrinology and Diabetes Centre, Head of Geriatric Medicine at Royal Perth Bentley Group, and Chair of the AMA WA Public Hospital Doctors."
"Where did Dr. Arenson practice before moving to Melbourne?","He worked in Western Australia (WA) for 20 years and also completed a 6-month elective in Endocrinology in the United Kingdom."
"Is Dr. Arenson involved in education or writing?","Yes, he is an award-winning published author and was nominated for Australian National Clinical Educator of the Year. He also served as the Director of Consultant support and mentoring at Royal Perth Hospital."
"Who is Dr. Claudia Ashkar?","Dr. Claudia Ashkar is a Consultant Endocrinologist who graduated from the University of Melbourne with a Doctor of Medicine with distinction."
"What awards and recognitions has Dr. Ashkar received?","She was the top academic student at the Northern Hospital clinical school, received the Clara Myers prize, and won an award for research excellence. In 2022, she was awarded best presentation at the Victorian and Tasmanian quality in diabetes care meeting."
"What are her areas of endocrine interest?","She has interest in all areas of endocrinology, including diabetes, pituitary, thyroid, and adrenal disorders, PCOS, osteoporosis, and endocrine disorders in pregnancy."
"Where did Dr. Ashkar complete her specialist training?","She completed her endocrinology specialist training at the Alfred Hospital, St Vincent's Hospital, and Peninsula Health."
"What is her approach to patient care?","Dr. Ashkar's approach is empathetic and holistic, embracing multi-disciplinary care to manage complex medical problems."
"Is Dr. Ashkar involved in medical education?","Yes, she is a passionate medical educator currently teaching clinical skills to medical students for Monash University."
"What research has she published?","She has published and presented research in the areas of diabetes, Graves’ disease, and pituitary disease."
"Who is Dr. Jianbin Liu?","Dr. Jianbin Liu is an experienced Consultant Endocrinologist known for his personable nature and expertise in all areas of Endocrinology."
"What languages does Dr. Liu speak?","Dr. Liu is fluent in English, Cantonese, and Mandarin, and is happy to consult in any of these languages for his patients' convenience."
"What is Dr. Liu's specific research and clinical interest?","He has a specific research interest in Endocrine Hypertension and is in charge of the Adrenal Vein Sampling service for Primary Aldosteronism at Eastern Health."
"What are his academic and research achievements?","Dr. Liu has published 13 peer-reviewed papers, participated in over 20 international drug trials, and serves as a reviewer for the Journal of Diabetes."
"Where did he complete his specialist training?","He received his advanced training in Endocrinology at Eastern Health, Melbourne, and was admitted as a Fellow of the Royal Australasian College of Physicians (FRACP) in 2020."
"How would you describe his communication style?","Jianbin is a 'people person' known for being a great listener and communicator. He prides himself on his compassionate nature, creativity, and problem-solving skills."
"Who is Dr. Ming Li Yee?","Dr. Ming Li Yee is a Consultant Endocrinologist who graduated from the University of Auckland and specializes in Endocrinology and Geriatric Medicine."
"What are Dr. Yee's clinical interests?","She has a wide range of interests including Diabetes Mellitus (Type 1, Type 2, LADA, MODY, and GDM), Endocrine Disorders (pituitary, thyroid, adrenal, parathyroid), Osteoporosis, and Sarcopaenia."
"Are there any specific conditions Dr. Yee does not treat?","Yes, she sees patients with various hormonal disorders with the exception of androgen deficiency (low testosterone)."
"What is her research background?","She recently completed a PhD examining the molecular mechanisms of low skeletal muscle mass in older women with hip fracture."
"Where can I see Dr. Yee for an appointment?","Dr. Yee sees patients at Balwyn, Frankston, and via Telehealth."
"Where did she complete her specialist training?","She trained in Endocrinology and Geriatric Medicine at Alfred Health, Peninsula Health, and Barwon Health, obtaining her FRACP in 2017."
"What are her medical qualifications?","Her qualifications include MbChB, FRACP, and a PhD."
"Who is Dr. Renata Libianto?","Dr. Renata Libianto is a Consultant Endocrinologist at Monash Health and a researcher specializing in endocrine causes of hypertension."
"What are her medical qualifications and training?","She graduated from the University of Melbourne in 2012, completed specialist training at Austin Health, Monash Health, and St Vincent’s Hospital (Sydney), and became a Fellow of the Royal Australasian College of Physicians (FRACP) in 2019."
"What is her specific research expertise?","Dr. Libianto earned her PhD in 2023 studying Conn syndrome (primary aldosteronism), which is the most common endocrine cause of hypertension. She continues this research as a postdoctoral scientist at the Hudson Institute of Medical Research."
"What clinical conditions does she specialize in?","She has a special interest in adrenal diseases and endocrine hypertension. She is also experienced in managing diabetes, weight and metabolic syndrome, thyroid disorders, osteoporosis, and women’s health."
"What languages does Dr. Libianto speak?","In addition to English, Dr. Libianto is fluent in Indonesian."
"What hospital and academic roles does she currently hold?","She is a consultant at Monash Health (General Endocrine, Endocrine Hypertension, and Victorian Heart Hospital) and holds an honorary clinical fellow position with the University of Melbourne."
"Who is Dr. Sylvia Xu?","Dr. Sylvia Xu is a Consultant Endocrinologist with special interests in women’s health, diabetes mellitus, and transgender medicine."
"What are Dr. Xu's medical qualifications and training?","She holds MBBS and FRACP qualifications. She completed her physician training at St Vincent’s Hospital, Western Health, and Peninsula Health, followed by a fellowship in Diabetes and Female Reproductive Health at Monash Health."
"What clinical areas does she specialize in?","Dr. Xu welcomes referrals in all areas of endocrinology, including diabetes mellitus, polycystic ovarian syndrome (PCOS), weight management, osteoporosis, thyroid and pituitary conditions, and transgender medicine."
"What languages does Dr. Xu speak?","Dr. Sylvia Xu is fluent in Mandarin."
"How would you describe her approach to patient care?","Sylvia is known for her warm and empathetic consulting manner, focusing on inclusive and holistic care for all her patients."
"What are her current professional appointments?","She currently holds a staff specialist appointment at Western Health and is actively involved in teaching medical students at The University of Melbourne."
"Who is Dr. Jonathan Cohen?","Dr. Jonathan Cohen is a Consultant Endocrinologist who graduated from the University of Western Australia with honours in 2000."
"What is Dr. Cohen's specific clinical interest?","He has a particular interest in Men’s Health, including testosterone replacement and infertility. He also manages all aspects of Diabetes (Type 1, Type 2, LADA, MODY) and general Endocrinology (pituitary, thyroid, adrenal, osteoporosis)."
"Where did he complete his specialist training?","He completed his training as a Specialist Endocrinologist at the Royal Melbourne Hospital and undertook a Fellowship in Male Reproductive Health at Monash Medical Centre in conjunction with Andrology Australia."
"Which hospitals does Dr. Cohen admit patients to?","Dr. Cohen has a large inpatient interest and admits patients at Cabrini Malvern, Peninsula Private, and Holmesglen."
"What is his approach to medical education?","He is committed to Continuing Medical Education, regularly presenting to other medical professionals and providing ongoing teaching to medical students."
"What is Dr. Cohen's background and personal interests?","He practiced in Perth before moving to Victoria. Outside of work, he is a dedicated West Coast Eagles supporter and enjoys spending time with his family."
"Who is Dr. Michael Mond?","Dr. Michael Mond is a Consultant Endocrinologist who graduated from Monash University with Honours and is a leading expert in thyroid tumors and cancer."
"What is Dr. Mond's specific clinical interest?","He has a particular interest in the investigation and management of thyroid conditions, including thyroid nodules and thyroid cancer, as well as general endocrine disorders of the pituitary, parathyroid, and adrenal glands."
"What was the focus of his PhD research?","His PhD research at the Hudson Institute investigated genetic and molecular changes in the development and progression of thyroid tumours."
"What are his current leadership roles in thyroid care?","He co-leads the Multidisciplinary Thyroid Clinic at Monash Health, is a lead endocrinologist at Eastern Health's Thyroid Clinic, and chairs multidisciplinary thyroid cancer meetings at both locations."
"What major awards or contributions has he made to medicine?","He developed an Australia-first genetic screening panel for thyroid tumors and was awarded the prestigious Bryan Hudson Clinical Endocrinology Award in 2017. He also established the Victorian Thyroid Cancer Interest Group."
"What general conditions does Dr. Mond treat?","In addition to thyroid specialties, he treats a broad range of conditions including Diabetes Mellitus and various endocrine gland disorders."
"Who is Dr. Belinda Hii?","Dr. Belinda Hii is a specialist Endocrine and General Surgeon. She recently returned to Melbourne after a prestigious fellowship at the Hammersmith Hospital in London, one of the UK’s highest-volume endocrine surgery centres."
"What are her surgical specialties?","Dr. Hii specializes in minimally invasive adrenal surgery (retroperitoneoscopic and laparoscopic), parathyroidectomy (including for renal hyperparathyroidism and MEN 1), and thyroidectomy, including surgery for thyroid cancer."
"Where does Dr. Hii consult and perform surgery?","She is available for private consultations in Frankston and East Melbourne. She is accredited to perform surgery at Epworth Freemasons and Peninsula Private Hospitals, as well as publicly at The Alfred and Frankston Hospital."
"What advanced surgical technologies does she use?","She is trained in advanced techniques such as IoPTH (Intraoperative PTH monitoring) and parathyroid autofluorescence (both camera and probe-based) to ensure the highest precision during surgery."
"What are the current waiting times for Dr. Hii?","Typical waiting times are approximately 4 weeks for an outpatient referral and 4–6 weeks for the operative waitlist."
"What is her background in minimally invasive adrenal surgery?","She traveled to Germany to train directly with Professor Martin Walz, the pioneer who developed the retroperitoneoscopic adrenalectomy technique."
"How would you describe her professional experience?","Dr. Hii is a Fellow of the Royal Australasian College of Surgeons (FRACS) and has held the competitive Selwyn Taylor Fellowship in London. She is an invited international speaker and a co-author of surgical research on thyroid cancer."
"Who is Nicole Howell?","Nicole Howell is an Accredited Practicing Dietitian (APD) with over 25 years of experience, including 15 years as a specialist Diabetes Dietitian at Peninsula Health."
"What are Nicole's areas of dietary expertise?","She specializes in Type 1 and Type 2 Diabetes, Gestational Diabetes, cardiovascular nutrition (cholesterol management), gastrointestinal nutrition (FODMAPs, Coeliac, IBS), and PCOS/menopause management."
"Does she work with children and adolescents?","Yes, she has extensive experience managing nutritional requirements for children and adolescents, particularly those with Type 1 diabetes."
"What is her experience with diabetes technology?","Nicole is highly experienced in insulin pump management and the latest technologies, including Continuous Glucose Monitoring (CGM) and smartphone health applications."
"What is the DAFNE programme?","Nicole is experienced in the DAFNE programme, which empowers clients to self-manage their diabetes and enhance their overall quality of life."
"What is Nicole's approach to nutrition and diet?","Her approach combines the latest scientific evidence with practical, realistic changes. She works closely with a client’s healthcare team to provide tailored education and carbohydrate counting advice."
"Is Nicole involved in sports nutrition?","Yes, she is a member of Sports Dietitians of Australia (SDA) and has a keen interest in sports-related nutrition."
"Who is Fadwa Hassan?","Fadwa Hassan is a Credentialled Diabetes Educator (CDE) with over 30 years of nursing and diabetes education experience. She joined Peninsula Endocrine Associates in 2009."
"What are Fadwa's special interests and skills?","She is passionate about helping people with diabetes and has a special interest and advanced skills in insulin pump therapy and continuous glucose monitoring (CGM)."
"What languages does Fadwa speak?","In addition to English, Fadwa is fluent in Arabic, allowing her to support patients from diverse cultural backgrounds."
"What is her professional background?","Fadwa graduated with a BSc in Nursing from the American University of Beirut (1986). In Australia, she completed a pre-registration course at Deakin University and has worked at Frankston Hospital since 1992 in various roles."
"Does she have hospital consulting rights?","Yes, Fadwa has consulting rights at Healthscope."
"When did she transition into Diabetes Education?","Fadwa transitioned into the field of Diabetes Education in 2004 and became a Credentialled Diabetes Educator."
"Where is the Camberwell clinic located?","The Camberwell clinic is located at Epworth Camberwell, Suite 2 Ground Floor, 888 Toorak Rd, Camberwell VIC 3124, Australia."
"Where is the Frankston clinic located?","The Frankston clinic is located at 93 Frankston - Flinders Rd, Frankston VIC 3199, Australia."
"Where is the Balwyn North clinic located?","The Balwyn North clinic is located at Suite 1/131 Bulleen Rd, Balwyn North VIC 3104, Australia."
"Where is the Hawthorn clinic located?","The Hawthorn clinic is located at Epworth Hawthorn, 50 Burwood Rd, Hawthorn VIC 3122, Australia."
"Where is the Moorabbin clinic located?","The Moorabbin clinic is located at Holmesglen Private, Suite D1, 490 South Rd, Moorabbin, VIC, Australia."
"Which hospitals/locations are part of the private practice?","Baldur Health operates across several private locations including Epworth Camberwell, Frankston (Flinders Rd), Balwyn North, Epworth Hawthorn, and Holmesglen Private in Moorabbin."
"Can I make payments at all clinic locations?","No. Please note that the suites at Epworth Hawthorn, Epworth Camberwell, Holmesglen Moorabbin, and Balwyn North are for consultations only (meet-and-greet) and cannot process payments. All payments must be handled through our central phone line."
"What is Baldur Health?","Baldur Health is a specialist healthcare group focused on improving patient outcomes through new technologies. Our team includes Endocrinologists, an Endocrine Surgeon, Diabetes Educators, Nurses, and Dietitians working together on comprehensive treatment plans."
"What medical conditions does Baldur focus on?","We focus on Diabetes (Type 1 & 2), Weight Regulation, Osteoporosis, Thyroid, Adrenal and Pituitary Disease, Reproductive Disease (PCOS), Male and Female Infertility, and Menopause."
"What specific medical services do you offer for patients?","We offer access to top health professionals, a simple Telehealth system, online payments, Osteoporosis infusions and injections, Iron infusions, Allied health care, medical devices, and inpatient care within our network."
"Does the website provide medical advice?","No. The information provided is for general purposes only and does not constitute medical advice. You should always seek independent advice from a qualified health professional for your specific circumstances."
"Is there a doctor-patient relationship established by using the site?","No, use of the website does not establish a doctor-patient relationship. Professional consultation is required for medical care."
"What should I do in case of a medical emergency?","If you are experiencing a medical emergency, please call 000 immediately. For non-urgent health advice, you can call Healthdirect at 1800 022 222."
"What is your approach to patient care?","We follow the patient's entire journey—from diagnosis and investigation to treatment planning and implementation—incorporating input from various medical and Allied Health specialists."
"How can I follow Baldur Health Care on social media?","You can follow us on Facebook at https://www.facebook.com/people/Baldur-Health-Care/61550296003873/ and on Instagram at https://www.instagram.com/baldurhealthcare/."
"What is the official website for Baldur Health Care?","Our official website is https://www.baldur.health."
"What is the contact phone number for Baldur Health Care?","You can reach us at 1300 225 387 (or +61 1300 225 387 from overseas)."
"What are the business hours for the central office?","Baldur Health Care is open from Monday to Friday, 8:30 AM to 4:30 PM. We are closed on Saturdays and Sundays."
"Where is the central office located?","Our central point of contact is at Epworth Hawthorn, 50 Burwood Rd, Hawthorn VIC 3122, Australia."
"Does Baldur Health Care have a Google Business profile?","Yes, you can find our business profile and reviews on Google Maps via our Google Business link (Baldur Health Care Pty Ltd)."
"How do I book an appointment?","You can book an appointment by calling our central office on 1300 225 387 during business hours (Monday to Friday, 8:30 AM – 4:30 PM). Online booking options may be available for selected doctors."
"Can I choose a specific doctor?","Yes, you may request a specific doctor when booking. Appointment availability depends on the doctor's schedule."
"How far in advance can I book an appointment?","Appointments can usually be booked several weeks to months in advance, depending on specialist availability."
"Can I change or reschedule my appointment?","Yes, appointments can be rescheduled by contacting our office at least 48 hours before your scheduled time."
"Do I need a new referral for follow-up appointments?","A valid referral is required. GP referrals are valid for 12 months and specialist referrals for 3 months, unless otherwise specified."
"How long is a standard consultation?","Initial consultations usually run longer than follow-up appointments. Exact duration depends on the complexity of your condition."
"Is there a waitlist for earlier appointments?","Yes, we maintain a waitlist and may contact you if an earlier appointment becomes available."
"What are the consultation fees?","Consultation fees vary depending on the specialist and appointment type. Our staff will inform you of the fee at the time of booking."
"Is there a Medicare rebate?","Yes, Medicare rebates may apply if you have a valid referral. The rebate amount depends on the consultation type."
"When will I receive my Medicare rebate?","Medicare rebates are usually processed within a few business days after your consultation."
"Do you offer bulk billing?","No, we are a private specialist clinic and do not offer bulk billing."
"Do you accept private health insurance?","Private health insurance generally does not cover outpatient consultations, but you may check with your insurer."
"Do you accept overseas or self-funded patients?","Yes, we welcome overseas and self-funded patients. Full payment is required prior to the consultation."
"Are there additional fees outside consultations?","Requests for prescriptions, forms, or letters outside a consultation may incur additional fees."
"How do I send my test results before my appointment?","You may send your test results via the method advised by our staff, or ask your referring doctor to forward them directly."
"Should I complete tests before my first visit?","Yes, completing any tests requested by your referring doctor before your appointment is strongly recommended."
"When will I receive my test results?","Your specialist will discuss results during your appointment or follow-up consultation."
"Can my GP receive a copy of my specialist letter?","Yes, a summary letter will usually be sent to your referring doctor after your consultation."
"Can I request copies of my medical reports?","Yes, copies can be requested. Administrative fees may apply."
"How is my medical information stored?","Your medical information is stored securely and handled in accordance with Australian privacy laws."
"Do you treat children or adolescents?","Our specialists primarily treat adults. Adolescents may be seen on a case-by-case basis."
"Do you see elderly patients with multiple conditions?","Yes, we have specialists experienced in managing complex conditions in older patients."
"Do you accept pregnant patients?","Yes, referrals related to endocrine conditions in pregnancy are accepted."
"Do you provide care for transgender patients?","Yes, we provide inclusive and respectful care for transgender and gender-diverse patients."
"Do you accept patients with disabilities?","Yes, we aim to provide accessible and supportive care for patients with disabilities."
"Do you accept NDIS patients?","Please contact our office to discuss NDIS-related appointments and requirements."
"Hello","Hello! How can we help you today?"
"Hi","Hi there! How may we assist you?"
"Good morning","Good morning! How can we support you today?"
"I need help","Of course, I’m here to help. What would you like to know?"
"Can I ask a question?","Absolutely. Please go ahead."
"Thank you","You're welcome. Please let us know if you need any further assistance."
"Thanks for your help","My pleasure. Take care and have a great day."
"Goodbye","Goodbye. We wish you all the best."
"That’s all","No problem. Feel free to contact us again if you need support."
"See you","We look forward to assisting you again."
"Does the website provide medical advice?","No. Information provided is for general purposes only and does not replace professional medical advice."
"Is a doctor-patient relationship created online?","No, a doctor-patient relationship is only established through a formal consultation."
"What should I do in a medical emergency?","If you are experiencing a medical emergency, please call 000 immediately."
"How is my privacy protected?","We comply with Australian privacy legislation to protect your personal and medical information."
"Do you use AI in patient care?","Secure, de-identified AI tools may be used to assist clinical documentation. Patients may raise any concerns with our staff."
"Can I opt out of certain administrative processes?","Please contact our office to discuss any specific concerns or preferences."
"Can I book appointments for multiple family members?","Yes, appointments for multiple family members can be arranged. Please inform our staff when booking."
"Do you send appointment reminders?","Yes, appointment reminders are usually sent via SMS or email prior to your visit."
"What happens if I arrive late for my appointment?","Late arrival may result in a shortened consultation or the need to reschedule, depending on availability."
"Can I walk in without an appointment?","No, all consultations are by appointment only."
"Can my GP book an appointment on my behalf?","Yes, referring doctors may contact our rooms to assist with bookings."
"Can I request a telehealth appointment instead of face-to-face?","Yes, telehealth appointments are available where clinically appropriate."
"Do fees differ between initial and follow-up consultations?","Yes, initial consultations generally have a higher fee than follow-up visits."
"Do you provide fee estimates before appointments?","Yes, our staff can provide an estimate of consultation fees at the time of booking."
"Can Medicare rebates be claimed for telehealth?","Yes, Medicare rebates may apply to eligible telehealth video consultations."
"What payment methods do you accept?","Payments can be made via credit card or other methods advised by our central office."
"What happens if my Medicare details are incorrect?","Incorrect details may delay rebate processing. Please ensure your Medicare information is up to date."
"Are cancellation fees claimable through Medicare or insurance?","No, cancellation fees are not claimable through Medicare or private health insurance."
"Can I do blood tests at any pathology provider?","Yes, tests can usually be completed at most accredited pathology providers unless otherwise specified."
"What if my test results are not ready before my appointment?","Your appointment may proceed, or be rescheduled if results are essential for clinical decision-making."
"Can test results be discussed over the phone?","Results are generally discussed during consultations, including telehealth appointments."
"How long are my medical records kept?","Medical records are retained in accordance with Australian legal and regulatory requirements."
"Can I transfer my medical records to another doctor?","Yes, records can be transferred upon written patient request."
"Do you accept digital referrals and test results?","Yes, electronic referrals and digital test results are accepted."
"Do you treat patients with complex or rare endocrine disorders?","Yes, our specialists manage both common and complex endocrine conditions."
"Do you provide culturally sensitive care?","Yes, we respect cultural diversity and offer care that is sensitive to individual backgrounds."
"Are interpreters available for appointments?","Interpreter services may be arranged upon request. Please notify us in advance."
"Do you treat patients from rural or regional areas?","Yes, telehealth is available for patients who live outside metropolitan areas."
"Can carers attend appointments?","Yes, carers or support persons are welcome to attend consultations."
"Hey","Hi! How can I assist you today?"
"Good afternoon","Good afternoon! What can I help you with?"
"I want to book","Sure, I can help with booking an appointment. Would you like a face-to-face or telehealth visit?"
"I have a referral","Great. I can help you arrange an appointment using your referral."
"I have a question about fees","No problem. I can provide information about consultation fees and Medicare rebates."
"Bye","Goodbye! Please reach out if you need further assistance."
"Talk to you later","Of course. We’re here whenever you need us."
"Thanks, that helps","I’m glad I could help. Take care."
"All done","No worries. Wishing you a great day."
"Is my consent required for treatment?","Yes, informed consent is obtained before any treatment or procedure."
"Can I withdraw consent at any time?","Yes, patients may withdraw consent at any stage of care."
"Do you share data with third parties?","Patient information is only shared when legally required or with patient consent."
"Is online communication secure?","Yes, we use secure systems to protect electronic communication."
"Can I lodge feedback or complaints?","Yes, feedback and complaints are welcome and can be submitted via our office."
"What if I feel unwell after hours?","If urgent, please attend the nearest emergency department or call 000."
